Employee Number,Title,First Forname,Surname,Starting Original Date,Emp End Date,SSP Payment,SSP Contra Payment,SMP Payment,OMP Payment,SMP Recovery,CHILDCARE-NEW,BASIC PAY,Qty1,Net1,Tax1,Qty2,Net2,Tax2,Divisor,Pensionable Pay Offset,BASIC ARREARS,BASIC ARR - NP,PDI,CSP-BASIC ADJ,HOLIDAY PAY,O/T @ 1,O/T @ 1.5,OVERTIME CASH,SHIFT ALLW,ACTING ALLW,WEIGHTING,SUPPLEMENT,BONUS,U/P LEAVE,PENSION REFUND,REFER A FRIEND,INCENTIVE,COMMISSION,PILON-T,EX-GRATIA-N,EX-GRATIA-T,SIGNING FEE,TOP UP - OTHER,TOP UP - HOLIDAY,TOP UP - BANK HOLIDAY,Den 1 - EE,Den 1 - PAR,Den 1 - SP,Den 1 - FAM,Den 3 - EE,Den 3 - PAR,Den 3 - FAM,Den 6 - EE,Den 6 - PAR,,Choose IPad,Choose TV,Choose Mobiles - TopUp,Gym Flex,CHOOSECHILDCARE,CHOOSEBIKES,CHOOSEHEALTH,Smart Pension,SMART AVC %,SMART AVC £,WPR Sal Sac,Sal Sac,,Tax Paid,NI Contracted In,NI Pensioner Contracted In,Student Loan,Pension 1,VC %,VC Cash,WPR Non Sal Sacrifice,Entitled Workers Sal Sac,Entitled Workers Non Sal Sac,PRIORITY1,CSA1-PRE 04/03,CSA-POST 04/03,CSA-POST 04/03,CSA-POST 04/03,COUNCIL TAX > 07,COUNC TAX2 >07,NON PRIORITY1,A E O FINES,EAS 3 - POST 04/10,GAYE,CHOOSECHILDCARE,CHOOSEVOUCHERS,CHOOSETRAVEL,ADVANCE,LOAN,OVERPAYMENTS,SAYE 2009,SAYE 2010,SAYE 2011,SAYE 2012 3 Yr,SAYE 2012 5Yr,SAYE 2013 3 Yr,SAYE 2013 5Yr,GYM SUBS,MONIES REC,CAR FINES,Healthcare Gold - Single,Healthcare Gold - SPF,Healthcare Gold - Partner,Healthcare Gold - Family,,Net Pay (Total)
130564,MR,First Name 130564,Last Name 130564,23/04/2007,30/09/2014,0,0,0,0,0,0,0,3,90,10,2,90,10,2,0,0,0,0,0,807.45,0,0,0,0,0,0,0,0,0,0,0,0,0,2757.15,10020.98,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13685.58,0,-506.16,0,0,0,-225,0,0,0,0,0,0,-731.16,523.6,272.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796.05,12158.37
132924,MR,First Name 132924,Last Name 132924,26/02/2009,,0,0,0,0,0,0,473.67,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,34.67,0,0,0,0,0,0,63.9,0,0,0,0,18.07,0,0,0,0,0,0,0,0,0,0,0,100.21,0,0,0,0,0,0,0,0,0,0,0,0,0,136.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,156.6,433.71
133017,MR,First Name 133017,Last Name 133017,17/09/2007,,0,0,0,0,0,0,1299.25,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,238.34,0,0,0,0,0,1201.85,0,0,0,0,43.53,3.01,34.57,0,0,0,0,0,0,0,0,0,2330.45,0,0,0,0,0,0,0,0,0,0,-16.18,0,-16.18,412.6,256.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,919.56,1884.81
133403,MR,First Name 133403,Last Name 133403,22/10/2007,,0,0,0,0,0,0,1293.08,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2483.23,0,0,0,0,0,530.59,61.27,0,0,0,0,0,0,0,0,0,3878.07,0,-83.28,0,0,0,0,0,0,0,0,-16.06,0,-99.34,728.8,354.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,150,0,0,0,0,0,0,0,1333.52,2935.31
133597,MR,First Name 133597,Last Name 133597,16/09/2007,,0,0,0,0,0,0,1225.58,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814.42,0,0,0,0,0,0,0,0,0,0,1549.9,0,0,0,0,0,0,0,-29.42,0,0,0,0,-29.42,235.2,161.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.91,1613.67
133626,MR,First Name 133626,Last Name 133626,02/10/2007,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,51.23,0,0,0,0,86.67,238.34,0,0,0,0,0,1264.8,0,0,0,0,0,208.54,30.8,0,0,0,0,0,0,0,0,0,2658.78,0,0,0,0,0,0,0,-31.14,0,0,0,0,-31.14,475.2,294.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,1019.77,2097.97
133645,MR,First Name 133645,Last Name 133645,22/10/2007,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,87.83,0,0,0,0,86.67,0,0,0,0,0,0,2639.85,0,0,0,0,0,350.61,0,0,0,0,0,0,0,0,0,0,3943.36,0,0,0,0,0,0,0,0,0,0,-15.57,0,-15.57,734.4,357.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092.1,3325.79
133702,MR,First Name 133702,Last Name 133702,25/10/2007,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,468.4,0,0,0,0,86.67,0,0,0,0,0,0,0,0,0,0,0,0,210.96,0,0,0,0,0,0,0,0,0,0,1544.43,0,0,0,0,0,0,0,0,0,0,-15.57,0,-15.57,255.6,162.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.31,1600.65
133820,MR,First Name 133820,Last Name 133820,18/10/2007,,350.2,-204.28,0,0,0,0,612.83,3,90,10,2,90,10,2,-490.1,0,0,0,-233.35,0,0,0,0,0,0,43.34,0,0,0,0,0,0,35.15,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,127.08,0,0,0,0,0,0,0,0,0,0,0,0,0,-36,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.29,652.47
133946,MR,First Name 133946,Last Name 133946,05/11/2007,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2709.4,0,0,0,0,0,0,72.92,0,0,0,0,0,0,0,0,0,3560.72,0,0,0,0,0,0,0,0,0,0,-23.35,0,-23.35,653.6,349.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003.49,3023.98
133970,MRS,First Name 133970,Last Name 133970,12/11/2007,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,238.34,0,0,0,0,0,313.2,0,0,0,0,11.41,131.79,0,0,0,0,0,0,0,0,0,0,1473.14,0,0,0,0,0,0,0,-31.14,0,0,0,0,-31.14,63.6,152.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.89,1716.21
133990,MR,First Name 133990,Last Name 133990,12/11/2007,31/07/2014,0,0,0,0,0,0,0,3,90,10,2,90,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
134039,MR,First Name 134039,Last Name 134039,20/11/2007,,0,0,0,0,0,0,1225.58,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,275.78,0,0,0,0,86.67,238.34,0,0,0,0,0,2259.4,0,0,0,0,0,1121.26,93.57,0,0,0,0,0,0,0,0,0,4810.5,0,0,0,0,0,0,0,0,0,0,-14.71,0,-14.71,1225.21,375.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605.27,3680.62
134040,MRS,First Name 134040,Last Name 134040,23/11/2007,,0,0,0,0,0,0,177.67,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,218.68,0,0,0,0,13,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.35
134047,MR,First Name 134047,Last Name 134047,23/11/2007,,402.73,-402.73,0,0,0,0,1225.58,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,86.67,0,0,0,0,0,0,86.25,0,0,0,0,0,57.87,4.57,0,0,0,0,0,0,0,0,0,970.84,0,0,0,0,0,0,0,-29.42,0,0,0,0,-29.42,106.8,92.22,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.02,1132.5
134428,MR,First Name 134428,Last Name 134428,14/01/2008,,0,0,0,0,0,0,761.08,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719.68,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1997.47,0,0,0,0,0,0,0,0,0,0,0,0,0,348.2,218.95,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.57,1915
134437,MR,First Name 134437,Last Name 134437,31/10/2011,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3094.67,0,0,0,0,0,-83.33,0,-23.35,0,0,0,0,-106.68,807.61,337.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145.42,2332.67
134495,MS,First Name 134495,Last Name 134495,02/01/2008,,0,0,0,0,0,0,1293.08,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,238.34,0,0,0,0,0,1131.3,0,0,0,0,0,4.5,61.14,0,0,0,0,0,0,0,0,0,2238.26,-43.25,0,0,0,0,0,0,0,0,0,-16.06,0,-59.31,242.51,240.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.24,2185.81
134605,MR,First Name 134605,Last Name 134605,14/01/2008,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504.04,0,0,0,0,0,0,39.64,0,0,0,0,0,0,0,0,0,3322.08,0,0,0,0,0,0,0,0,0,0,-15.57,0,-15.57,592.4,345.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937.67,2858.94
134735,MRS,First Name 134735,Last Name 134735,12/01/2008,,0,0,365.31,0,0,0,0,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,34.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.98
134781,MR,First Name 134781,Last Name 134781,06/02/2008,,315.18,-87.55,0,0,0,0,1225.58,3,90,10,2,90,10,2,-490.1,0,0,0,-735.35,0,0,0,0,0,0,86.67,238.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.77,0,0,0,0,0,0,0,0,0,-43.33,0,0,-43.33,116.4,40.38,0,0,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,205.89,793.65
134807,MR,First Name 134807,Last Name 134807,25/01/2008,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,58.55,0,0,0,0,86.67,0,0,0,0,0,0,2442,0,0,0,0,33.85,0,59.24,0,0,0,0,0,0,0,0,0,3458.71,0,0,0,0,0,0,0,0,0,0,-15.57,0,-15.57,743.71,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091.71,2841.53
134836,MR,First Name 134836,Last Name 134836,28/01/2008,,0,0,0,0,0,0,1280.67,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,177.33,0,0,0,0,0,238.34,0,0,0,0,0,871.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2077.74,0,-65.25,0,0,0,0,0,0,0,0,-15.81,0,-81.06,362.2,218.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.05,1905.73
134838,MS,First Name 134838,Last Name 134838,28/01/2008,,0,0,0,0,0,0,1014.83,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,238.34,0,0,0,0,0,716.38,0,0,0,0,0,25.13,0,0,0,0,0,0,0,0,0,0,1504.58,0,0,0,0,0,0,0,0,0,0,0,0,0,250.6,159.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,510.4,1484.28
134842,MR,First Name 134842,Last Name 134842,28/02/2008,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,238.34,0,0,0,0,0,627.3,0,0,0,0,0,0,30.87,0,0,0,0,0,0,0,0,0,1674.91,-49.12,0,0,0,0,0,0,-31.14,0,0,0,0,-80.26,267.4,170.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,446.34,1638.41
134892,MR,First Name 134892,Last Name 134892,04/02/2008,,0,0,0,0,0,0,1225.58,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,238.34,0,0,0,0,0,1043.64,0,0,0,0,7.72,0,18.39,0,0,0,0,0,0,0,0,0,2043.57,0,0,0,0,0,0,0,0,0,0,-14.71,0,-14.71,337,222.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.71,1959.25
134945,MR,First Name 134945,Last Name 134945,03/03/2008,,0,0,0,0,0,0,1225.58,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.5,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,1246.08,0,0,0,0,0,0,0,0,0,0,0,0,0,195.2,128.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.98,1412.2
134959,MR,First Name 134959,Last Name 134959,11/02/2008,,0,0,0,0,0,0,1225.58,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.32,0,0,0,0,15.02,0,22.53,0,0,0,0,0,0,0,0,0,1999.35,0,0,0,0,0,0,0,0,0,0,-14.71,0,-14.71,343,217.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,610.41,1864.33
135036,MRS,First Name 135036,Last Name 135036,03/03/2008,,0,0,0,0,0,0,1280.67,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,62.8,0,0,0,0,0,238.34,0,0,0,0,0,5213.52,0,0,0,0,50.19,0,84.52,0,0,0,0,0,0,0,0,0,6439.94,0,0,0,0,0,0,0,0,0,0,-15.81,0,-15.81,1207.6,407.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,1865.22,5049.01
135081,MR,First Name 135081,Last Name 135081,18/02/2008,,0,0,0,0,0,0,1280.75,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,238.34,0,0,0,0,0,1658.7,0,0,0,0,37.06,446.83,0,0,0,0,0,0,0,0,0,0,3171.58,0,0,0,0,0,0,0,-31.63,0,0,0,0,-31.63,577.8,341.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919.74,2710.31
135092,MR,First Name 135092,Last Name 135092,01/03/2008,,0,0,0,0,0,0,947.33,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,20.32,0,0,0,0,0,0,0,0,0,0,0,483.71,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,25.2,948.61
135154,MR,First Name 135154,Last Name 135154,24/03/2008,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,238.33,0,0,0,0,0,795.9,0,0,0,0,5.04,0,11.71,0,0,0,0,0,0,0,0,0,1829.38,0,0,0,0,0,0,0,-31.14,0,0,0,0,-31.14,298.4,195.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,693.44,1594.9
135170,MR,First Name 135170,Last Name 135170,28/02/2008,,0,0,0,0,0,0,1280.75,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,236.48,0,0,0,0,0,238.34,0,0,0,0,0,2448,0,0,0,0,0,0,103.4,0,0,0,0,0,0,0,0,0,3816.87,-28.47,0,0,0,0,0,0,0,0,0,-15.81,0,-44.28,866.51,354.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1321.1,2941.59
135272,MR,First Name 135272,Last Name 135272,10/03/2008,,0,0,0,0,0,0,473.67,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,34.67,0,0,0,0,0,0,28.6,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.5
